article_number,name,law_type
8.19,"Нарушение правил захоронения отходов и других материалов во внутренних морских водах, в территориальном море, на континентальном шельфе и (или) в исключительной экономической зоне Российской Федерации",КоАП РФ
8.20,Незаконная передача минеральных и (или) живых ресурсов на континентальном шельфе и (или) в исключительной экономической зоне Российской Федерации,КоАП РФ
8.21,Нарушение правил охраны атмосферного воздуха,КоАП РФ
8.22,Выпуск в эксплуатацию механических транспортных средств с превышением нормативов содержания загрязняющих веществ в выбросах либо нормативов уровня шума,КоАП РФ
8.23,Эксплуатация механических транспортных средств с превышением нормативов содержания загрязняющих веществ в выбросах либо нормативов уровня шума,КоАП РФ
8.24,"Нарушение порядка предоставления гражданам, юридическим лицам лесов для их использования",КоАП РФ
8.25,Нарушение правил использования лесов,КоАП РФ
8.26,"Самовольное использование лесов, нарушение правил использования лесов для ведения сельского хозяйства, уничтожение лесных ресурсов",КоАП РФ
8.27,Нарушение требований лесного законодательства по воспроизводству лесов и лесоразведению,КоАП РФ
8.28,"Незаконная рубка, повреждение лесных насаждений или самовольное",КоАП РФ
8.28.1,Нарушение требований лесного законодательства об учете древесины и сделок с ней,КоАП РФ
8.29,Уничтожение мест обитания животных,КоАП РФ
8.30,"Уничтожение лесной инфраструктуры, а также сенокосов, пастбищ",КоАП РФ
8.30.1,"Нарушение порядка проектирования, создания, содержания и эксплуатации объектов лесной инфраструктуры",КоАП РФ
8.31,Нарушение правил санитарной безопасности в лесах,КоАП РФ
8.32,Нарушение правил пожарной безопасности в лесах,КоАП РФ
8.32.1,"Ненаправление, несвоевременное направление, направление недостоверной информации в федеральный орган исполнительной власти, уполномоченный на",КоАП РФ
8.32.2,Включение заведомо недостоверной информации в реестр недобросовестных арендаторов лесных участков и покупателей лесных насаждений,КоАП РФ
8.32.3,"Невыполнение мероприятий, предусмотренных сводным планом тушения лесных пожаров на территории субъекта Российской Федерации",КоАП РФ
8.33,Нарушение правил охраны среды обитания или путей миграции объектов животного мира и водных биологических ресурсов,КоАП РФ
8.34,"Нарушение установленного порядка создания, использования или транспортировки биологических коллекций",КоАП РФ
8.35,Уничтожение редких и находящихся под угрозой исчезновения видов животных или растений,КоАП РФ
8.36,"Нарушение правил переселения, акклиматизации или гибридизации объектов животного мира и водных биологических ресурсов",КоАП РФ
8.37,"Нарушение правил охоты, правил, регламентирующих рыболовство и другие виды пользования объектами животного мира",КоАП РФ
8.38,Нарушение правил охраны водных биологических ресурсов,КоАП РФ
8.39,Нарушение правил охраны и использования природных ресурсов на особо охраняемых природных территориях,КоАП РФ
8.40,"Нарушение требований при осуществлении работ в области гидрометеорологии, мониторинга состояния и загрязнения окружающей среды и активных воздействий на метеорологические и другие геофизические процессы",КоАП РФ
8.41,Невнесение в установленные сроки платы за негативное воздействие на окружающую среду,КоАП РФ
8.41.1,"Неуплата в установленные сроки сбора по каждой группе товаров, группе упаковки товаров, подлежащего уплате производителями товаров, импортерами товаров, которые не обеспечивают самостоятельную утилизацию отходов от использования товаров",КоАП РФ
8.42,"Нарушение специального режима осуществления хозяйственной и иной деятельности на прибрежной защитной полосе водного объекта, водоохранной зоны водного объекта либо режима осуществления хозяйственной и иной деятельности на территории зоны санитарной охраны источников питьевого и хозяйственно-бытового водоснабжения",КоАП РФ
8.43,Нарушение требований к осуществлению деятельности в Антарктике и условий ее осуществления,КоАП РФ
8.44,"Нарушение режима осуществления хозяйственной и иной деятельности в границах зон затопления, подтопления",КоАП РФ
8.45,"Невыполнение требований по оборудованию хозяйственных и иных объектов, расположенных в границах водоохранных зон, сооружениями, обеспечивающими охрану водных объектов от загрязнения, засорения, заиления и истощения вод",КоАП РФ
8.45.1,Нарушение режима осуществления хозяйственной и иной деятельности в лесопарковом зеленом поясе,КоАП РФ
8.46,"Невыполнение или несвоевременное выполнение обязанности по подаче заявки на постановку на государственный учет объектов, оказывающих негативное воздействие на окружающую среду, представлению сведений для актуализации учетных сведений",КоАП РФ
8.47,Осуществление хозяйственной и (или) иной деятельности без комплексного экологического разрешения,КоАП РФ
9.1,Нарушение требований промышленной безопасности или условий лицензий на осуществление видов деятельности в области промышленной безопасности опасных производственных объектов,КоАП РФ
9.1.1,"Нарушение требований к организации безопасного использования и содержания лифтов, подъемных платформ для инвалидов, пассажирских конвейеров (движущихся пешеходных дорожек) и эскалаторов, за исключением эскалаторов в метрополитенах",КоАП РФ
9.2,"Нарушение требований к обеспечению безопасности гидротехнических сооружений, установленных законодательством Российской Федерации",КоАП РФ
9.3,"Нарушение правил или норм эксплуатации тракторов, самоходных, дорожно- строительных и иных машин и оборудования",КоАП РФ
9.4,Нарушение обязательных требований в области строительства и применения строительных материалов (изделий),КоАП РФ
9.5,"Нарушение установленного порядка строительства, реконструкции, капитального ремонта объекта капитального строительства, ввода его в эксплуатацию",КоАП РФ
9.5.1,"Выполнение работ по инженерным изысканиям, по подготовке проектной документации, по строительству, реконструкции, капитальному ремонту объектов капитального строительства лицом, не являющимся членом саморегулируемой организации в области инженерных изысканий, архитектурно-строительного проектирования или строительства, реконструкции, капитального ремонта объектов капитального строительства, или с нарушением требований, установленных законодательством о градостроительной деятельности, к лицам, имеющим право на выполнение таких работ по соответствующему договору, заключенному с использованием конкурентных способов заключения договоров",КоАП РФ
9.5.2,"Нарушение сроков направления документов, материалов или сведений о них для размещения в государственных информационных системах обеспечения градостроительной деятельности",КоАП РФ
9.6,Нарушение правил использования атомной энергии и учета ядерных материалов и радиоактивных веществ,КоАП РФ
9.7,Повреждение электрических сетей,КоАП РФ
9.8,Нарушение правил охраны электрических сетей напряжением свыше 1000 вольт,КоАП РФ
9.9,Ввод в эксплуатацию топливо- и энергопотребляющих объектов без разрешения соответствующих органов,КоАП РФ
9.10,"Повреждение тепловых сетей, топливопроводов, совершенное по неосторожности",КоАП РФ
9.11,"Нарушение правил пользования топливом и энергией, правил устройства, эксплуатации топливо- и энергопотребляющих установок, тепловых сетей, объектов хранения, содержания, реализации и транспортировки энергоносителей, топлива и продуктов его переработки",КоАП РФ
9.12,Утратила силу. - Федеральный закон от 23.11.2009 N 261-ФЗ.,КоАП РФ
9.13,"Уклонение от исполнения требований к обеспечению доступности для инвалидов объектов социальной, инженерной и транспортной инфраструктур и предоставляемых услуг",КоАП РФ
9.14,"Отказ от производства транспортных средств общего пользования, приспособленных для использования инвалидами",КоАП РФ
9.15,"Нарушение стандартов раскрытия информации субъектами оптового рынка электрической энергии и мощности, розничных рынков электрической энергии",КоАП РФ
9.16,Нарушение законодательства об энергосбережении и о повышении энергетической эффективности,КоАП РФ
9.17,"Нарушение нормативов запасов топлива, порядка создания и использования тепловыми электростанциями и котельными запасов топлива",КоАП РФ
9.18,Нарушение порядка вывода объектов электроэнергетики в ремонт,КоАП РФ
9.19,Несоблюдение требований об обязательном страховании гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,КоАП РФ
9.20,Нарушение порядка использования объектов по хранению химического оружия и объектов по уничтожению химического оружия,КоАП РФ
9.21,"Нарушение правил (порядка обеспечения) недискриминационного доступа, порядка подключения (технологического присоединения)",КоАП РФ
9.22,"Нарушение порядка полного и (или) частичного ограничения режима потребления электрической энергии, порядка ограничения и прекращения подачи тепловой энергии, правил ограничения подачи (поставки) и отбора газа либо порядка временного прекращения или ограничения водоснабжения, водоотведения, транспортировки воды и (или) сточных вод",КоАП РФ
9.23,Нарушение правил обеспечения безопасного использования и содержания внутридомового и внутриквартирного газового оборудования,КоАП РФ
9.24,Нарушение законодательства о теплоснабжении,КоАП РФ
10.1,"Нарушение правил борьбы с карантинными, особо опасными и опасными вредителями растений, возбудителями болезней растений, растениями-сорняками",КоАП РФ
10.2,"Нарушение порядка ввоза и вывоза подкарантинной продукции (подкарантинного материала, подкарантинного груза)",КоАП РФ
10.3,"Нарушение правил производства, заготовки, перевозки, хранения, переработки, использования и реализации подкарантинной продукции (подкарантинного материала, подкарантинного груза)",КоАП РФ
10.4,"Непринятие мер по обеспечению режима охраны посевов и мест хранения растений, содержащих наркотические средства или психотропные вещества либо их прекурсоры",КоАП РФ
10.5,"Непринятие мер по уничтожению дикорастущих растений, содержащих наркотические средства или психотропные вещества либо их прекурсоры",КоАП РФ
10.5.1,"Незаконное культивирование растений, содержащих наркотические средства или психотропные вещества либо их прекурсоры",КоАП РФ
10.6,Нарушение правил карантина животных или других ветеринарно-санитарных правил,КоАП РФ
10.7,Сокрытие сведений о внезапном падеже или об одновременных массовых заболеваниях животных,КоАП РФ
10.8,"Нарушение ветеринарно-санитарных правил перевозки, перегона или убоя животных либо правил заготовки, переработки, хранения или реализации продуктов животноводства",КоАП РФ
10.9,Проведение мелиоративных работ с нарушением проекта,КоАП РФ
10.10,Нарушение правил эксплуатации мелиоративных систем или отдельно расположенных гидротехнических сооружений. Повреждение мелиоративных систем,КоАП РФ
10.11,Нарушение норм и правил ведения племенного животноводства,КоАП РФ
10.12,"Нарушение правил производства, заготовки, обработки, хранения, реализации, транспортировки и использования семян сельскохозяйственных растений",КоАП РФ
10.13,Нарушение правил ведения документации на семена сельскохозяйственных растений,КоАП РФ
10.14,Нарушение порядка ввоза на территорию Российской Федерации семян сельскохозяйственных растений,КоАП РФ
11.1,"Действия, угрожающие безопасности движения на железнодорожном транспорте и метрополитене",КоАП РФ
11.2,Утратила силу. - Федеральный закон от 28.12.2009 N 380-ФЗ.,КоАП РФ
11.3,"Действия, угрожающие безопасности полетов",КоАП РФ
11.3.1,Нарушение требований авиационной безопасности,КоАП РФ
11.4,Нарушение правил использования воздушного пространства,КоАП РФ
11.5,Нарушение правил безопасности эксплуатации воздушных судов,КоАП РФ
11.6,"Действия, угрожающие безопасности движения на водном транспорте",КоАП РФ
11.7,Нарушение правил плавания,КоАП РФ
11.7.1,"Несоблюдение мер по обеспечению безопасности судоходства в зонах безопасности, установленных вокруг искусственных островов, установок и сооружений, расположенных на континентальном шельфе Российской Федерации",КоАП РФ
11.8,"Нарушение правил эксплуатации судов, а также управление судном лицом, не имеющим права управления",КоАП РФ
11.8.1,"Управление маломерным судном судоводителем, не имеющим при себе документов, необходимых для допуска к управлению маломерным судном",КоАП РФ
11.9,"Управление судном судоводителем или иным лицом, находящимися в состоянии опьянения",КоАП РФ
11.10,"Нарушение правил обеспечения безопасности пассажиров на судах водного транспорта, а также на маломерных судах",КоАП РФ
11.11,Нарушение правил погрузки и разгрузки судов,КоАП РФ
11.12,Нарушение правил пользования базами (сооружениями) для стоянок маломерных судов,КоАП РФ
11.13,"Нарушение правил выпуска судна в плавание или допуск к управлению судном лиц, не имеющих соответствующего диплома (свидетельства, удостоверения) либо находящихся в состоянии опьянения",КоАП РФ
11.14,"Нарушение правил перевозки опасных веществ, крупногабаритных или тяжеловесных грузов",КоАП РФ
11.14.1,Нарушение правил перевозок пассажиров и багажа легковым такси,КоАП РФ
11.14.2,Нарушение правил перевозок пассажиров и багажа по заказу,КоАП РФ
11.14.3,"Невыполнение обязанностей, предусмотренных законодательством о транспортно-экспедиционной деятельности",КоАП РФ
11.15,"Повреждение имущества на транспортных средствах общего пользования, грузовых вагонов или иного предназначенного для перевозки и хранения грузов на транспорте оборудования",КоАП РФ
11.15.1,Нарушение требований в области транспортной безопасности,КоАП РФ
11.15.2,Нарушение установленных в области обеспечения транспортной безопасности порядков и правил,КоАП РФ
11.16,"Нарушение требований пожарной безопасности на железнодорожном, морском, внутреннем водном или воздушном транспорте",КоАП РФ
11.17,"Нарушение правил поведения граждан на железнодорожном, воздушном или водном транспорте",КоАП РФ
11.18,Безбилетный проезд,КоАП РФ
11.19,"Нарушение правил провоза ручной клади, багажа и грузобагажа",КоАП РФ
11.20,"Нарушение правил безопасности при строительстве, эксплуатации или ремонте магистральных трубопроводов",КоАП РФ
11.20.1,Нарушение запретов либо несоблюдение порядка выполнения работ в охранных зонах магистральных трубопроводов,КоАП РФ
11.21,Нарушение правил использования полосы отвода и придорожных полос автомобильной дороги,КоАП РФ
11.22,Нарушение землепользователями правил охраны автомобильных дорог или дорожных сооружений,КоАП РФ
11.23,"Управление транспортным средством или выпуск на линию транспортного средства без тахографа, несоблюдение норм времени управления транспортным средством и отдыха либо нарушение режима труда и отдыха водителей",КоАП РФ
11.24,Организация транспортного обслуживания населения без создания условий доступности для инвалидов,КоАП РФ
11.25,Утратила силу. - Федеральный закон от 24.07.2007 N 210-ФЗ.,КоАП РФ
11.26,Незаконное использование зарегистрированных в других государствах,КоАП РФ
11.27,Управление транспортным средством без отличительного на нем и (или) прицепах к нему знака государства регистрации транспортного средства (прицепа) и нарушение других правил эксплуатации транспортного средства при осуществлении международной автомобильной перевозки,КоАП РФ
11.28,Утратила силу. - Федеральный закон от 24.07.2007 N 210-ФЗ.,КоАП РФ
11.29,"Осуществление международных автомобильных перевозок без разрешений, либо с незаполненными разрешениями, разрешениями, заполненными с нарушением установленных правил, или разрешениями, не соответствующими виду перевозки, либо без учетного талона, либо без отметки в уведомлении должностного лица федерального органа исполнительной власти, осуществляющего функции по контролю и надзору в сфере транспорта, об устранении нарушения",КоАП РФ
11.30,Умышленное сокрытие авиационного происшествия или инцидента,КоАП РФ
11.31,"Несоблюдение перевозчиком требований законодательства Российской Федерации об обязательном страховании гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров",КоАП РФ
11.32,"Нарушение установленного порядка проведения обязательного медицинского освидетельствования водителей транспортных средств (кандидатов в водители транспортных средств) либо обязательных предварительных, периодических, предрейсовых или послерейсовых медицинских осмотров",КоАП РФ
11.33,"Нарушение порядка использования автобуса, трамвая или троллейбуса",КоАП РФ
12.1,"Управление транспортным средством, не зарегистрированным в установленном порядке, транспортным средством, не прошедшим государственного технического осмотра или технического осмотра",КоАП РФ
12.2,Управление транспортным средством с нарушением правил установки на нем государственных регистрационных знаков,КоАП РФ
12.3,"Управление транспортным средством водителем, не имеющим при себе документов, предусмотренных Правилами дорожного движения",КоАП РФ
12.4,"Нарушение правил установки на транспортном средстве устройств для подачи специальных световых или звуковых сигналов либо незаконное нанесение специальных цветографических схем автомобилей оперативных служб, цветографической схемы легкового такси или незаконная установка опознавательного фонаря легкового такси или опознавательного знака ""Инвалид""",КоАП РФ
12.5,"Управление транспортным средством при наличии неисправностей или условий, при которых эксплуатация транспортных средств запрещена, или транспортным средством, на котором незаконно установлен опознавательный знак ""Инвалид""",КоАП РФ
12.6,Нарушение правил применения ремней безопасности или мотошлемов,КоАП РФ
12.7,"Управление транспортным средством водителем, не имеющим права управления транспортным средством",КоАП РФ
12.8,"Управление транспортным средством водителем, находящимся в состоянии опьянения, передача управления транспортным средством лицу, находящемуся в состоянии опьянения",КоАП РФ
12.9,Превышение установленной скорости движения,КоАП РФ
12.10,Нарушение правил движения через железнодорожные пути,КоАП РФ
12.11,Нарушение правил движения по автомагистрали,КоАП РФ
12.12,Проезд на запрещающий сигнал светофора или на запрещающий жест регулировщика,КоАП РФ
12.13,Нарушение правил проезда перекрестков,КоАП РФ
12.14,Нарушение правил маневрирования,КоАП РФ
12.15,"Нарушение правил расположения транспортного средства на проезжей части дороги, встречного разъезда или обгона",КоАП РФ
12.16,"Несоблюдение требований, предписанных дорожными знаками или разметкой проезжей части дороги",КоАП РФ
12.17,Непредоставление преимущества в движении маршрутному транспортному средству или транспортному средству с включенными специальными световыми и звуковыми сигналами,КоАП РФ
12.17.1,Утратила силу. - Федеральный закон от 21.07.2014 N 210-ФЗ.,КоАП РФ
12.18,Непредоставление преимущества в движении пешеходам или иным участникам дорожного движения,КоАП РФ
12.19,Нарушение правил остановки или стоянки транспортных средств,КоАП РФ
12.20,"Нарушение правил пользования внешними световыми приборами, звуковыми сигналами, аварийной сигнализацией или знаком аварийной остановки",КоАП РФ
12.21,"Нарушение правил перевозки грузов, правил буксировки",КоАП РФ
12.21.1,Нарушение правил движения тяжеловесного и (или) крупногабаритного транспортного средства,КоАП РФ
12.21.2,Нарушение правил перевозки опасных грузов,КоАП РФ
12.21.3,"Несоблюдение требований законодательства Российской Федерации о внесении платы в счет возмещения вреда, причиняемого автомобильным дорогам общего пользования федерального значения транспортными средствами, имеющими разрешенную максимальную массу свыше 12 тонн",КоАП РФ
12.22,Нарушение правил учебной езды,КоАП РФ
12.23,Нарушение правил перевозки людей,КоАП РФ
12.24,"Нарушение Правил дорожного движения или правил эксплуатации транспортного средства, повлекшее причинение легкого или средней тяжести вреда здоровью потерпевшего",КоАП РФ
12.25,Невыполнение требования о предоставлении транспортного средства или об остановке транспортного средства,КоАП РФ
12.26,Невыполнение водителем транспортного средства требования о,КоАП РФ
12.27,Невыполнение обязанностей в связи с дорожно-транспортным происшествием,КоАП РФ
12.28,"Нарушение правил, установленных для движения транспортных средств в жилых зонах",КоАП РФ
12.29,"Нарушение Правил дорожного движения пешеходом или иным лицом, участвующим в процессе дорожного движения",КоАП РФ
12.30,"Нарушение Правил дорожного движения пешеходом или иным участником дорожного движения, повлекшее создание помех в движении транспортных средств либо причинение легкого или средней тяжести вреда здоровью потерпевшего",КоАП РФ
12.31,"Выпуск на линию транспортного средства, не зарегистрированного в установленном порядке, не прошедшего государственного технического осмотра или технического осмотра, с заведомо подложными государственными регистрационными знаками, имеющего неисправности, с которыми запрещена эксплуатация, с установленными без соответствующего разрешения устройствами для подачи специальных световых или звуковых сигналов либо с незаконно нанесенными специальными цветографическими схемами автомобилей оперативных служб",КоАП РФ
12.31.1,"Нарушение требований обеспечения безопасности перевозок пассажиров и багажа, грузов автомобильным транспортом и городским наземным электрическим транспортом",КоАП РФ
12.32,"Допуск к управлению транспортным средством водителя, находящегося в состоянии опьянения либо не имеющего права управления транспортным средством",КоАП РФ
12.32.1,"Допуск к управлению транспортным средством водителя, не имеющего российского национального водительского удостоверения",КоАП РФ
12.33,"Повреждение дорог, железнодорожных переездов или других дорожных сооружений",КоАП РФ
12.34,"Несоблюдение требований по обеспечению безопасности дорожного движения при строительстве, реконструкции, ремонте и содержании дорог, железнодорожных переездов или других дорожных сооружений",КоАП РФ
12.35,Незаконное ограничение прав на управление транспортным средством и его эксплуатацию,КоАП РФ
12.36,Утратила силу. - Федеральный закон от 24.07.2007 N 210-ФЗ.,КоАП РФ
12.36.1,Нарушение правил пользования телефоном водителем транспортного средства,КоАП РФ
12.37,Несоблюдение требований об обязательном страховании гражданской ответственности владельцев транспортных средств,КоАП РФ
13.1,Утратила силу. - Федеральный закон от 28.12.2009 N 380-ФЗ.,КоАП РФ
13.2,Самовольное подключение к сети электрической связи оконечного оборудования,КоАП РФ
13.3,Изготовление или установка радиоэлектронных средств и (или) высокочастотных устройств без специального разрешения (лицензии),КоАП РФ
13.4,"Нарушение требований к использованию радиочастотного спектра, правил радиообмена или использования радиочастот, несоблюдение норм или параметров радиоизлучения",КоАП РФ
13.5,Нарушение правил охраны линий или сооружений связи,КоАП РФ
13.6,"Использование средств связи или несертифицированных средств кодирования (шифрования), не прошедших процедуру подтверждения их соответствия установленным требованиям",КоАП РФ
13.7,"Несоблюдение установленных правил и норм, регулирующих порядок проектирования, строительства и эксплуатации сетей и сооружений связи",КоАП РФ
13.8,"Изготовление, реализация или эксплуатация технических средств, не соответствующих стандартам или нормам, регулирующим допустимые уровни индустриальных радиопомех",КоАП РФ
13.9,Самовольные строительство или эксплуатация сооружений связи,КоАП РФ
13.10,"Изготовление в целях сбыта либо сбыт заведомо поддельных государственных знаков почтовой оплаты, международных ответных купонов, использование заведомо поддельных клише франкировальных машин, почтовых штемпелей или иных именных вещей",КоАП РФ
13.11,Нарушение законодательства Российской Федерации в области персональных данных,КоАП РФ
13.11.1,"Распространение информации о свободных рабочих местах или вакантных должностях, содержащей ограничения дискриминационного характера",КоАП РФ
13.12,Нарушение правил защиты информации,КоАП РФ
13.13,Незаконная деятельность в области защиты информации,КоАП РФ
13.14,Разглашение информации с ограниченным доступом,КоАП РФ
13.15,Злоупотребление свободой массовой информации,КоАП РФ
13.15.1,"Непредоставление либо несвоевременное предоставление редакцией средства массовой информации, вещателем или издателем информации о получении денежных средств, предоставление которой предусмотрено законодательством Российской Федерации о средствах массовой информации",КоАП РФ
13.16,Воспрепятствование распространению продукции средства массовой информации,КоАП РФ
13.17,Нарушение правил распространения обязательных сообщений,КоАП РФ
13.18,"Воспрепятствование уверенному приему радио- и телепрограмм и работе сайтов в сети ""Интернет""",КоАП РФ
13.19,Непредоставление первичных статистических данных,КоАП РФ
13.19.1,Нарушение порядка размещения информации в государственной информационной системе жилищно-коммунального хозяйства,КоАП РФ
13.19.2,"Неразмещение информации, размещение информации не в полном объеме или размещение недостоверной информации в государственной информационной системе жилищно-коммунального хозяйства",КоАП РФ
